id,name,subgroup,n,mean,sd,se,ci,median,iqr,type
PRDX1,PRDX1,SIDD,214,17.5792324882159,2.75079580992806,0.188040530378524,0.370658702485878,17.9056362669238,3.86979164736773,PRT
PRDX1,PRDX1,MARD,219,17.7427253343807,2.90382399849654,0.196222241607756,0.386735515041099,17.9048449433029,4.501414302565,PRT
PRDX1,PRDX1,MOD,121,17.5480462453176,3.02056361917758,0.274596692652507,0.543682340917772,17.5850007367889,4.30020361790383,PRT
PRDX1,PRDX1,SIRD,67,17.2947295748314,3.21198544118264,0.392406476629824,0.783464809005549,18.0147854059796,4.35316409729245,PRT
PRDX2,PRDX2,SIDD,240,19.1907831082026,2.70329686575653,0.174497062348829,0.343748639337706,19.111626558955,3.44989577428309,PRT
PRDX2,PRDX2,MARD,261,19.0879964947145,2.63269956961307,0.162960012299292,0.32088944956648,19.0801949036276,3.37601281254951,PRT
PRDX2,PRDX2,MOD,137,18.9711819049501,2.7021141355494,0.230857190373133,0.456534124668505,18.9545109184343,2.8822406966231,PRT
PRDX2,PRDX2,SIRD,77,18.4610766470742,2.33051340684225,0.265586651290658,0.528961658862852,18.6375249017243,2.69204623508596,PRT
PRDX6,PRDX6,SIDD,241,19.5396549226639,2.18140388288246,0.140516576601524,0.276803271936414,19.1223374089027,2.13959319799132,PRT
PRDX6,PRDX6,MARD,264,19.4587073293694,2.46414687002243,0.151657756111558,0.298617909269791,19.1290845208007,2.15056860372933,PRT
PRDX6,PRDX6,MOD,138,19.0452472236995,2.16168502463322,0.184014849466241,0.363876706862734,18.7367264933012,1.78188134032714,PRT
PRDX6,PRDX6,SIRD,79,19.3222033848635,2.41910631572681,0.272170724687796,0.541850289461053,18.7942404856008,2.44562255649411,PRT
PRG4,PRG4,SIDD,242,16.5574551450833,0.838151476211925,0.0538784174991789,0.106132735435604,16.5682734306966,0.863355897441561,PRT
PRG4,PRG4,MARD,268,16.504814506386,0.600692156572108,0.0366931134988025,0.0722446536900329,16.4882990275126,0.774887009688683,PRT
PRG4,PRG4,MOD,139,16.7712580423758,0.663632662245137,0.0562885877490373,0.111299623931905,16.8076300711896,0.905698199668592,PRT
PRG4,PRG4,SIRD,80,16.800610338699,0.805879637823413,0.0901000825928031,0.179339728338597,16.7414241600685,0.807101409671628,PRT
PRKDC,PRKDC,SIDD,242,17.6688640217989,1.15844989651418,0.0744679797718213,0.146691212593003,17.6390455855089,1.08513277580737,PRT
PRKDC,PRKDC,MARD,268,17.6193198227835,1.26684253103772,0.077384724051907,0.152361902737178,17.6576799077655,1.25078549559226,PRT
PRKDC,PRKDC,MOD,139,17.6173153099261,1.24793898078062,0.105848802841423,0.20929521277773,17.6551590927008,1.41558234165355,PRT
PRKDC,PRKDC,SIRD,80,17.657290704195,1.15199852849245,0.128797350984442,0.256364714344067,17.582183608067,1.05079983439428,PRT
PROC,PROC,SIDD,242,18.542635673959,1.31856547895506,0.0847605992370556,0.166966192990482,18.2907579495979,1.57453547593789,PRT
PROC,PROC,MARD,268,18.4585371332282,1.33494811133411,0.0815449345030938,0.160552893761514,18.2927219724538,1.24761408487152,PRT
PROC,PROC,MOD,139,18.5729763306175,1.21104068050557,0.102719129859692,0.203106899305567,18.3694251933975,1.13352785931747,PRT
PROC,PROC,SIRD,80,18.6933989897898,1.31401023415307,0.146910810334834,0.292418653316048,18.4663134364268,1.42135582470225,PRT
PROS1,PROS1,SIDD,242,20.3517382321921,0.468399627925025,0.030109868473731,0.0593121114734305,20.3210231876983,0.48613810623749,PRT
PROS1,PROS1,MARD,268,20.3389139482644,0.441749067708713,0.0269841190734446,0.0531287250305221,20.322250989101,0.388578714411299,PRT
PROS1,PROS1,MOD,139,20.3699557373372,0.392936578317282,0.0333284455795046,0.0659004534946299,20.3493378932697,0.388097228673406,PRT
PROS1,PROS1,SIRD,80,20.3270139056939,0.377791883895641,0.0422384166869181,0.0840734653742638,20.2672356304553,0.359041816435571,PRT
PROZ,PROZ,SIDD,236,15.7399206493338,1.76827498257921,0.115104897148311,0.226769316088223,15.7379096950129,2.149197728713,PRT
PROZ,PROZ,MARD,258,15.7989633863952,1.74849115351446,0.108856304434733,0.214363916394304,15.8071323787129,2.30010140731826,PRT
PROZ,PROZ,MOD,136,15.9911011064033,1.57500058819115,0.135055186236701,0.267097598821431,16.1033829070089,2.0352934636408,PRT
PROZ,PROZ,SIRD,79,15.8418396987739,1.64948802568457,0.185581902042007,0.369465185704828,15.7885567804376,2.04044544289361,PRT
PRSS1,PRSS1,SIDD,242,21.052426055501,0.286546370087164,0.0184198983102749,0.0362845511218833,21.0337392587453,0.366104550258346,PRT
PRSS1,PRSS1,MARD,268,21.0447097411615,0.324472901138852,0.019820337020406,0.0390240360525878,21.0304630049552,0.392980041195706,PRT
PRSS1,PRSS1,MOD,139,21.0675431351448,0.307148667655025,0.0260520099670945,0.0515127315848753,21.0348998412979,0.411445535093584,PRT
PRSS1,PRSS1,SIRD,80,21.0034572768123,0.293929068518753,0.0328622688885563,0.0654107100178659,20.976047874944,0.400964232757577,PRT
PRSS2,PRSS2,SIDD,242,21.3517917990429,0.359835622722372,0.0231311099035885,0.0455649605478269,21.3451451782023,0.427948712783088,PRT
PRSS2,PRSS2,MARD,268,21.3322020125582,0.378815013904275,0.0231398098812556,0.045559708400844,21.3537078963607,0.439684543703624,PRT
PRSS2,PRSS2,MOD,139,21.3692730996664,0.325335411207654,0.0275945894219213,0.0545628794047636,21.364411481329,0.387665682418564,PRT
PRSS2,PRSS2,SIRD,80,21.332302888365,0.360900151539355,0.0403498635965986,0.0803143944786067,21.2893170282981,0.458509788224941,PRT
PRSS3,PRSS3,SIDD,242,22.4244474811339,0.491255374907539,0.0315790915355873,0.0622062696495176,22.4843458077005,0.653250001002185,PRT
PRSS3,PRSS3,MARD,268,22.4318565265128,0.471758717024937,0.02881725016459,0.0567379559793363,22.4848744428727,0.572435960739526,PRT
