"id","name","week","arm","n","mean","sd","se","ci","median","iqr","type"
"NDUFAF3","NDUFAF3",24,"SP",139,-0.062267632534864,0.649503637864157,0.0550901795423247,0.108930007139977,-0.0886856146505437,0.611236389304175,"PRT"
"NID1","NID1",24,"CG32",166,0.102993119800477,2.38730626928803,0.185290901592993,0.365846810946161,-0.0972937859647516,2.10541426773262,"PRT"
"NID1","NID1",24,"CG48",168,-0.0290400415897749,2.31710779781043,0.178768747712717,0.352937946633493,0.048236804670827,1.92918513030733,"PRT"
"NID1","NID1",24,"PB",78,-0.266440560717803,1.92799222292193,0.218302131602388,0.434695079075909,-0.208127753028876,1.55130626856385,"PRT"
"NID1","NID1",24,"SP",114,-0.123512800004133,2.07374289195927,0.194223816947744,0.384792411467418,-0.101789427256639,2.10696977490952,"PRT"
"NID2","NID2",24,"CG32",184,-0.154842863495316,2.34570170780332,0.172927424177203,0.341187868355444,-0.12987853885415,1.85975304127331,"PRT"
"NID2","NID2",24,"CG48",173,0.146790974468757,2.40987890667221,0.183219700470771,0.361648603268364,-0.0456646220276014,1.48994706361449,"PRT"
"NID2","NID2",24,"PB",71,0.289978475678381,2.04337400468731,0.242503878959302,0.4836587359449,0.403160590279413,1.86251678245369,"PRT"
"NID2","NID2",24,"SP",120,-0.0766226431894743,1.94200051792471,0.17727958172568,0.351031277873353,-0.212593300577845,1.71229232486656,"PRT"
"NME1","NME1",24,"CG32",129,0.136843250022861,3.64809830085059,0.321197145534887,0.635543428920998,-0.0560375940893643,2.55266939356591,"PRT"
"NME1","NME1",24,"CG48",134,-0.254679281124078,3.71111992008662,0.320591932250885,0.634118423596932,-0.161156594428748,2.27266825316006,"PRT"
"NME1","NME1",24,"PB",47,-0.125815182408316,3.90625702599752,0.569786147885719,1.14692002940442,-0.130588362389055,3.51104988670479,"PRT"
"NME1","NME1",24,"SP",100,-0.472361599464713,2.89952733570623,0.289952733570623,0.57532912910965,-0.0730818464288667,1.48600260317173,"PRT"
"NNMT","NNMT",24,"CG32",204,0.0307648683258039,0.934629019051745,0.0654371200666397,0.129023603024559,-0.0201744929247454,1.05500305323244,"PRT"
"NNMT","NNMT",24,"CG48",192,0.031336184867777,0.855364204772911,0.0617305942351013,0.12176125073448,0.00922448314251945,0.884296709419093,"PRT"
"NNMT","NNMT",24,"PB",85,0.0749872947325271,0.926835157612692,0.100529387531674,0.199913711860634,0.0307785598636023,0.890583028423553,"PRT"
"NNMT","NNMT",24,"SP",129,-0.0257968476074248,0.922612799760208,0.0812315275736496,0.160730455697778,0.056240960038906,1.02181058069974,"PRT"
"NONO","NONO",24,"CG32",178,-0.0951421266328193,2.34033251524946,0.175415338296686,0.346174662631608,-0.176496716482331,2.81826551412633,"PRT"
"NONO","NONO",24,"CG48",178,-0.427411255613215,2.07029963668355,0.155175518341094,0.306232244181283,-0.343598948403571,2.54178097589457,"PRT"
"NONO","NONO",24,"PB",78,-0.185445007288621,2.1687534030034,0.245562967094369,0.488978337571275,-0.389899380857452,3.16329337223439,"PRT"
"NONO","NONO",24,"SP",115,0.0307761681226052,2.16892530905865,0.20225332794113,0.400662284891364,-0.00903254663336384,2.68211227817779,"PRT"
"NPM1","NPM1",24,"CG32",214,0.0438130817258222,0.945268166952481,0.0646172016193116,0.127371094211814,-0.0346262564298296,1.08918164048306,"PRT"
