"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"ARF1","PB",78,"-0.06 (0.17)",0.885628963049658
"ARF1","SP",139,"0.05 (0.08)",0.973863416522637
"ARF3","CG32",188,"0 (0.07)",0.485306339580887
"ARF3","CG48",190,"0.03 (0.07)",0.695306782085705
"ARF3","PB",78,"-0.06 (0.17)",0.887792900288036
"ARF3","SP",139,"0.05 (0.08)",0.973863416522637
"ARG1","CG32",134,"-0.1 (0.2)",0.87233548487303
"ARG1","CG48",145,"-0.27 (0.2)",0.78205423422546
"ARG1","PB",47,"-0.03 (0.39)",0.578962035127026
"ARG1","SP",98,"0.09 (0.28)",0.792594243060909
"ARID1A","CG32",121,"0.15 (0.16)",0.094659310644819
"ARID1A","CG48",120,"0.35 (0.16)",4.88707896934839e-06
"ARID1A","PB",45,"-0.33 (0.23)",0.0933002152830494
"ARID1A","SP",90,"-0.39 (0.21)",0.00408436921094121
"ASAH1","CG32",114,"-0.19 (0.26)",0.592523607704395
"ASAH1","CG48",107,"0.26 (0.28)",0.8995402177289
"ASAH1","PB",49,"0.29 (0.41)",0.259212751226713
"ASAH1","SP",75,"0.23 (0.34)",0.264318958404482
"ASL","CG32",123,"0.3 (0.47)",0.355029156810508
"ASL","CG48",129,"-0.71 (0.38)",0.706167136023224
"ASL","PB",56,"1.12 (0.74)",0.903482685297959
"ASL","SP",71,"0.86 (0.55)",0.507120832509234
"ATG9A","CG32",118,"0.02 (0.09)",0.642600549943402
"ATG9A","CG48",121,"-0.08 (0.09)",0.915877999034398
"ATG9A","PB",43,"-0.16 (0.22)",0.03300428290325
"ATG9A","SP",87,"0.16 (0.12)",0.61514230499559
"ATP1A1","CG32",120,"-0.27 (0.24)",0.31397897457344
"ATP1A1","CG48",126,"-0.19 (0.23)",0.127310725711144
"ATP1A1","PB",72,"0.1 (0.32)",0.262694364020658
"ATP1A1","SP",75,"0.25 (0.31)",0.389260478196956
"ATP5F1A","CG32",216,"-0.03 (0.09)",0.409599717496888
"ATP5F1A","CG48",213,"-0.04 (0.08)",0.933453187321921
"ATP5F1A","PB",90,"0.27 (0.14)",0.19619849842021
"ATP5F1A","SP",146,"-0.1 (0.09)",0.131122831061619
"ATP5F1B","CG32",177,"-0.07 (0.23)",0.615344333295853
"ATP5F1B","CG48",169,"-0.05 (0.22)",0.831814654634423
"ATP5F1B","PB",72,"-0.18 (0.34)",0.167785606740058
"ATP5F1B","SP",125,"0.15 (0.26)",0.695501861639447
"ATP6V1B2","CG32",113,"0.18 (0.17)",0.145862638873416
"ATP6V1B2","CG48",113,"0 (0.19)",0.779760964661673
"ATP6V1B2","PB",51,"0.41 (0.3)",0.854527867903443
"ATP6V1B2","SP",89,"0.38 (0.22)",0.198226266751607
"ATRN","CG32",216,"0.13 (0.09)",0.215326151526578
