"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"HRG","CG48",214,"0.06 (0.05)",0.0958238858536093
"HRG","PB",91,"0.05 (0.07)",0.517591372529866
"HRG","SP",146,"-0.08 (0.05)",0.210317630807513
"HRNR","CG32",201,"0.06 (0.14)",0.490563861499175
"HRNR","CG48",196,"0.12 (0.16)",0.15046758427365
"HRNR","PB",83,"0.35 (0.23)",0.0227337621416288
"HRNR","SP",134,"0.03 (0.2)",0.706375391514129
"HSP90AA1","CG32",169,"-0.08 (0.22)",0.51612359873585
"HSP90AA1","CG48",178,"0.21 (0.21)",0.283698030559622
"HSP90AA1","PB",77,"-0.23 (0.3)",0.395239278776759
"HSP90AA1","SP",126,"-0.52 (0.24)",0.129310732589789
"HSP90AB1","CG32",185,"0.15 (0.19)",0.504514064825959
"HSP90AB1","CG48",183,"-0.06 (0.19)",0.289200181202292
"HSP90AB1","PB",71,"0.43 (0.34)",0.766938026302943
"HSP90AB1","SP",133,"-0.07 (0.25)",0.563918055812593
"HSP90B1","CG32",208,"-0.33 (0.18)",0.150971417407912
"HSP90B1","CG48",201,"0.23 (0.18)",0.339204911477938
"HSP90B1","PB",91,"-0.09 (0.25)",0.478039199870981
"HSP90B1","SP",137,"-0.13 (0.22)",0.173862848718629
"HSPA1A","CG32",191,"0.04 (0.13)",0.400261315017874
"HSPA1A","CG48",197,"-0.09 (0.13)",0.710797823205366
"HSPA1A","PB",83,"-0.25 (0.18)",0.0972381549743786
"HSPA1A","SP",134,"-0.18 (0.19)",0.836049249142237
"HSPA1B","CG32",191,"0.04 (0.13)",0.400261315017874
"HSPA1B","CG48",197,"-0.09 (0.13)",0.710797823205366
"HSPA1B","PB",83,"-0.25 (0.18)",0.0972381549743786
"HSPA1B","SP",134,"-0.18 (0.19)",0.836049249142237
"HSPA1L","CG32",147,"0.19 (0.25)",0.87037276642874
"HSPA1L","CG48",149,"-0.23 (0.29)",0.728504354401754
"HSPA1L","PB",52,"0.08 (0.45)",0.431047285960566
"HSPA1L","SP",111,"-0.14 (0.26)",0.819145333244193
"HSPA5","CG32",216,"0.03 (0.09)",0.0903164976560539
"HSPA5","CG48",214,"0.02 (0.08)",0.685426097955458
"HSPA5","PB",91,"0 (0.13)",0.661364730334191
"HSPA5","SP",146,"0.09 (0.11)",0.453710614449777
"HSPA8","CG32",215,"0.08 (0.12)",0.747910460996555
"HSPA8","CG48",214,"-0.02 (0.11)",0.768672806907989
"HSPA8","PB",91,"-0.2 (0.18)",0.384197807837628
"HSPA8","SP",145,"-0.17 (0.15)",0.40254417708368
"HSPA9","CG32",142,"0.47 (0.16)",0.00257954541570369
"HSPA9","CG48",129,"0.3 (0.14)",0.00668576296473939
"HSPA9","PB",68,"-0.17 (0.2)",0.718316899000527
"HSPA9","SP",87,"0.08 (0.16)",0.363379777148487
"HSPD1","CG32",194,"-0.24 (0.15)",0.198461042002744
"HSPD1","CG48",188,"-0.26 (0.16)",0.31333530914644
"HSPD1","PB",89,"0 (0.18)",0.698787127131911
"HSPD1","SP",127,"-0.14 (0.18)",0.857074106384055
"HSPG2","CG32",216,"-0.12 (0.08)",0.054316739476377
"HSPG2","CG48",214,"-0.11 (0.07)",0.046771499048424
"HSPG2","PB",91,"0.06 (0.11)",0.30637769939069
"HSPG2","SP",146,"-0.1 (0.08)",0.570463583023211
"HSPH1","CG32",146,"0.05 (0.12)",0.520010765768793
"HSPH1","CG48",140,"0.03 (0.13)",0.787120136972818
"HSPH1","PB",73,"-0.07 (0.15)",0.820479428980377
"HSPH1","SP",101,"0.03 (0.15)",0.558910809819386
"ICOSLG","CG32",147,"-0.05 (0.1)",0.920721572967691
"ICOSLG","CG48",140,"-0.22 (0.1)",0.177989940629724
"ICOSLG","PB",69,"-0.02 (0.11)",0.721823230117813
"ICOSLG","SP",105,"-0.02 (0.1)",0.0535829879818264
"IDH1","CG32",116,"-0.14 (0.2)",0.143965471428177
"IDH1","CG48",108,"0.07 (0.2)",0.7274722968717
"IDH1","PB",42,"-0.18 (0.4)",0.157052192806841
"IDH1","SP",76,"-0.27 (0.28)",0.521957380178252
"IDH3G","CG32",118,"0.08 (0.17)",0.620135715819988
"IDH3G","CG48",118,"0.14 (0.18)",0.258809271774394
"IDH3G","PB",51,"-0.02 (0.21)",0.920815793319447
"IDH3G","SP",76,"0.1 (0.27)",0.3037741105936
"IGFALS","CG32",216,"-0.04 (0.09)",0.882368039902802
"IGFALS","CG48",214,"0.02 (0.09)",0.775747712054215
"IGFALS","PB",91,"0.13 (0.15)",0.188027114683663
"IGFALS","SP",146,"0.04 (0.12)",0.932256232357773
"IGFBP2","CG32",186,"-0.06 (0.08)",0.0501929058158492
"IGFBP2","CG48",185,"-0.11 (0.08)",0.114298683326424
"IGFBP2","PB",77,"0.02 (0.09)",0.455415002281843
"IGFBP2","SP",124,"-0.16 (0.07)",0.0124965661809271
"IGFBP3","CG32",180,"-0.19 (0.12)",0.15352320187436
"IGFBP3","CG48",161,"-0.39 (0.14)",0.0497775117965048
"IGFBP3","PB",64,"-0.35 (0.28)",0.271294724855535
"IGFBP3","SP",129,"0.18 (0.13)",0.543381896978893
"IGHA1","CG32",216,"-0.06 (0.03)",0.131449260543338
"IGHA1","CG48",214,"-0.11 (0.03)",0.0884083009476001
"IGHA1","PB",91,"0.05 (0.05)",0.631009780078078
"IGHA1","SP",146,"-0.06 (0.03)",0.445021920983369
"IGHA2","CG32",216,"-0.08 (0.03)",0.0511569937872071
"IGHA2","CG48",214,"-0.08 (0.03)",0.244136620259252
"IGHA2","PB",91,"0.06 (0.04)",0.495053722920067
"IGHA2","SP",146,"-0.03 (0.03)",0.614185313068101
"IGHD","CG32",188,"-0.04 (0.08)",0.808582647319616
"IGHD","CG48",181,"-0.15 (0.09)",0.542387738122334
"IGHD","PB",79,"0.2 (0.12)",0.530987670580628
"IGHD","SP",130,"-0.11 (0.08)",0.518266508191585
"IGHG1","CG32",216,"-0.02 (0.02)",0.399879067318481
"IGHG1","CG48",214,"0.01 (0.02)",0.575392509553631
"IGHG1","PB",91,"0 (0.04)",0.483251568058105
"IGHG1","SP",146,"0.06 (0.02)",0.0459333714110412
"IGHG2","CG32",216,"-0.02 (0.02)",0.298968003341044
"IGHG2","CG48",214,"-0.02 (0.03)",0.31062112278353
"IGHG2","PB",91,"-0.08 (0.04)",0.52522021246437
"IGHG2","SP",146,"-0.01 (0.03)",0.921784766696526
"IGHG3","CG32",216,"0.01 (0.03)",0.827707886116451
"IGHG3","CG48",214,"0 (0.03)",0.519538047146174
"IGHG3","PB",91,"0 (0.06)",0.550013227428479
"IGHG3","SP",146,"0.09 (0.03)",0.0374932044982755
"IGHG4","CG32",216,"-0.04 (0.03)",0.267412260751585
"IGHG4","CG48",214,"-0.03 (0.03)",0.594950049899366
"IGHG4","PB",91,"-0.07 (0.05)",0.818871421139561
"IGHG4","SP",146,"0.01 (0.03)",0.448170416657989
"IGHM","CG32",216,"-0.01 (0.03)",0.665964567158345
"IGHM","CG48",214,"-0.06 (0.03)",0.354590604629327
"IGHM","PB",91,"-0.02 (0.05)",0.589870858308495
"IGHM","SP",146,"0.04 (0.02)",0.604955446568367
"IGHV1.18","CG32",216,"-0.01 (0.04)",0.886904932401498
"IGHV1.18","CG48",214,"-0.03 (0.03)",0.666704138309562
"IGHV1.18","PB",91,"-0.04 (0.06)",0.773565749579292
"IGHV1.18","SP",146,"0.04 (0.04)",0.50107244301875
"IGHV1.2","CG32",149,"-0.06 (0.05)",0.660515829583373
"IGHV1.2","CG48",161,"-0.06 (0.06)",0.528441544724741
"IGHV1.2","PB",70,"0.18 (0.09)",0.184556728747809
"IGHV1.2","SP",104,"0 (0.07)",0.932470561379401
"IGHV1.24","CG32",208,"0.03 (0.06)",0.499332206516647
"IGHV1.24","CG48",207,"0.04 (0.07)",0.56730558273987
"IGHV1.24","PB",89,"0.16 (0.15)",0.907877181724206
"IGHV1.24","SP",145,"0.07 (0.07)",0.286321868728147
"IGHV1.3","CG32",209,"0.01 (0.05)",0.695311266157814
"IGHV1.3","CG48",205,"0.01 (0.04)",0.922865375825801
"IGHV1.3","PB",85,"0.06 (0.08)",0.493783725753798
"IGHV1.3","SP",138,"-0.07 (0.04)",0.653217501736944
"IGHV1.46","CG32",216,"-0.01 (0.04)",0.955320523232501
"IGHV1.46","CG48",213,"-0.03 (0.04)",0.493333167313658
"IGHV1.46","PB",90,"-0.23 (0.11)",0.189893092313268
"IGHV1.46","SP",145,"0.02 (0.06)",0.459862763438097
"IGHV1.69","CG32",204,"-0.06 (0.05)",0.737499191803447
"IGHV1.69","CG48",205,"0.03 (0.05)",0.936850716772317
"IGHV1.69","PB",89,"0.07 (0.09)",0.775820657869245
"IGHV1.69","SP",140,"0.07 (0.05)",0.861975289288784
"IGHV1.69.2","CG32",157,"-0.02 (0.08)",0.942114463786951
"IGHV1.69.2","CG48",162,"0.03 (0.08)",0.888929182738797
"IGHV1.69.2","PB",63,"0.4 (0.13)",0.126008196429842
"IGHV1.69.2","SP",108,"0.06 (0.11)",0.687363265893057
"IGHV1.69D","CG32",182,"0 (0.1)",0.6771498281743
"IGHV1.69D","CG48",183,"-0.19 (0.09)",0.753537365850981
"IGHV1.69D","PB",75,"0.19 (0.13)",0.759998325441536
"IGHV1.69D","SP",126,"-0.06 (0.12)",0.851814341279832
"IGHV1.8","CG32",213,"-0.14 (0.08)",0.0659045252739272
"IGHV1.8","CG48",209,"0.14 (0.07)",0.138332032349348
"IGHV1.8","PB",90,"-0.01 (0.16)",0.70163947836393
"IGHV1.8","SP",144,"0.08 (0.08)",0.798321634544215
"IGHV2.26","CG32",198,"-0.05 (0.06)",0.808937172763343
"IGHV2.26","CG48",199,"-0.11 (0.08)",0.499320811194344
"IGHV2.26","PB",84,"-0.07 (0.09)",0.751931615307183
"IGHV2.26","SP",137,"0.06 (0.09)",0.267814645593773
"IGHV2.5","CG32",197,"-0.08 (0.05)",0.528102398869841
"IGHV2.5","CG48",199,"-0.04 (0.05)",0.789925864159737
"IGHV2.5","PB",84,"-0.04 (0.1)",0.945337548448871
"IGHV2.5","SP",133,"-0.02 (0.06)",0.610420064350796
"IGHV2.70D","CG32",136,"-0.05 (0.03)",0.517137023622237
"IGHV2.70D","CG48",141,"0 (0.03)",0.782434486746895
"IGHV2.70D","PB",63,"0.04 (0.07)",0.339909855514567
"IGHV2.70D","SP",108,"0.03 (0.03)",0.463711919541166
"IGHV3.11","CG32",216,"-0.01 (0.01)",0.57627739213943
"IGHV3.11","CG48",214,"-0.01 (0.02)",0.458389089088522
"IGHV3.11","PB",91,"0.06 (0.03)",0.0799554554601716
"IGHV3.11","SP",146,"0.04 (0.02)",0.134864433302219
"IGHV3.13","CG32",216,"-0.01 (0.01)",0.582174642646966
"IGHV3.13","CG48",214,"-0.02 (0.02)",0.427530264150637
"IGHV3.13","PB",91,"0.06 (0.03)",0.0452574344848081
"IGHV3.13","SP",146,"0.04 (0.02)",0.108586301030916
"IGHV3.15","CG32",216,"-0.01 (0.04)",0.661272038844564
"IGHV3.15","CG48",214,"0.02 (0.04)",0.836858465103114
"IGHV3.15","PB",91,"-0.01 (0.05)",0.656264986029229
"IGHV3.15","SP",146,"0.01 (0.04)",0.573152258822269
"IGHV3.20","CG32",216,"-0.01 (0.01)",0.594052937234288
"IGHV3.20","CG48",214,"-0.01 (0.02)",0.484216532023147
"IGHV3.20","PB",91,"0.06 (0.03)",0.0799554554601716
"IGHV3.20","SP",146,"0.04 (0.02)",0.134864433302219
"IGHV3.21","CG32",216,"0 (0.02)",0.694920070456692
"IGHV3.21","CG48",214,"-0.02 (0.02)",0.467492280402245
"IGHV3.21","PB",91,"0.06 (0.03)",0.0811767845466912
"IGHV3.21","SP",146,"0.04 (0.02)",0.129116160755489
"IGHV3.23","CG32",216,"-0.01 (0.02)",0.66179277832546
"IGHV3.23","CG48",214,"0.02 (0.02)",0.711750380071799
"IGHV3.23","PB",91,"0.04 (0.04)",0.368987274145486
"IGHV3.23","SP",146,"0.09 (0.02)",0.0601043681489911
"IGHV3.30","CG32",216,"0 (0.02)",0.764537660014846
"IGHV3.30","CG48",214,"0 (0.02)",0.907420232268532
"IGHV3.30","PB",91,"0.03 (0.03)",0.137399990042691
"IGHV3.30","SP",146,"0.07 (0.02)",0.0478304222921158
"IGHV3.30.3","CG32",216,"0 (0.02)",0.756331478427614
"IGHV3.30.3","CG48",214,"0 (0.02)",0.921526296672885
"IGHV3.30.3","PB",91,"0.03 (0.03)",0.138647662155947
"IGHV3.30.3","SP",146,"0.07 (0.02)",0.0478304222921158
"IGHV3.30.5","CG32",216,"0 (0.02)",0.764537660014846
"IGHV3.30.5","CG48",214,"0 (0.02)",0.907420232268532
"IGHV3.30.5","PB",91,"0.03 (0.03)",0.137399990042691
"IGHV3.30.5","SP",146,"0.07 (0.02)",0.0478304222921158
"IGHV3.33","CG32",216,"0 (0.02)",0.771121745538173
"IGHV3.33","CG48",214,"0 (0.02)",0.943579488477195
"IGHV3.33","PB",91,"0.03 (0.03)",0.174237167348484
"IGHV3.33","SP",146,"0.07 (0.02)",0.0447977589875801
"IGHV3.38","CG32",216,"0.01 (0.02)",0.974787206824885
"IGHV3.38","CG48",214,"0 (0.02)",0.795984227301444
"IGHV3.38","PB",91,"-0.02 (0.04)",0.95224207782809
"IGHV3.38","SP",146,"0.07 (0.03)",0.0306132239731042
"IGHV3.43","CG32",216,"0 (0.01)",0.689620682350001
"IGHV3.43","CG48",214,"-0.01 (0.02)",0.562845239023626
"IGHV3.43","PB",91,"0.05 (0.03)",0.0542609837314854
"IGHV3.43","SP",146,"0.04 (0.02)",0.110633022759753
"IGHV3.43D","CG32",216,"0 (0.01)",0.683808897351979
"IGHV3.43D","CG48",214,"-0.01 (0.02)",0.555190038109054
"IGHV3.43D","PB",91,"0.05 (0.03)",0.0536756865360855
"IGHV3.43D","SP",146,"0.04 (0.02)",0.110045160441667
"IGHV3.48","CG32",216,"-0.01 (0.02)",0.512877810091261
"IGHV3.48","CG48",214,"-0.02 (0.02)",0.414800791173721
"IGHV3.48","PB",91,"0.07 (0.03)",0.0591376910508878
"IGHV3.48","SP",146,"0.04 (0.02)",0.126805287721975
"IGHV3.49","CG32",216,"-0.01 (0.03)",0.542450933480344
"IGHV3.49","CG48",214,"0.01 (0.03)",0.974182633160014
"IGHV3.49","PB",91,"0.04 (0.05)",0.212772716039313
"IGHV3.49","SP",146,"0.06 (0.03)",0.412733054101008
"IGHV3.53","CG32",216,"0.01 (0.02)",0.855796456098542
"IGHV3.53","CG48",214,"-0.01 (0.02)",0.872012022935899
"IGHV3.53","PB",91,"0.06 (0.04)",0.122525281920219
"IGHV3.53","SP",146,"0.07 (0.02)",0.0567712464491114
"IGHV3.64","CG32",206,"0 (0.06)",0.87882996775164
"IGHV3.64","CG48",205,"-0.02 (0.07)",0.934213498594293
"IGHV3.64","PB",89,"0.01 (0.1)",0.454692064808708
"IGHV3.64","SP",138,"0.12 (0.07)",0.4241286455892
"IGHV3.64D","CG32",216,"0.01 (0.02)",0.834430497559996
"IGHV3.64D","CG48",214,"0.03 (0.02)",0.343608240076748
"IGHV3.64D","PB",91,"0.03 (0.04)",0.752079840422345
"IGHV3.64D","SP",146,"0.02 (0.03)",0.538677318277829
"IGHV3.66","CG32",216,"0 (0.02)",0.870477419774267
"IGHV3.66","CG48",214,"0 (0.02)",0.998013704077858
"IGHV3.66","PB",91,"0.04 (0.03)",0.172014221863351
"IGHV3.66","SP",146,"0.06 (0.02)",0.0651185896001453
"IGHV3.7","CG32",216,"-0.01 (0.02)",0.862001849242799
"IGHV3.7","CG48",214,"-0.02 (0.02)",0.954340096797855
"IGHV3.7","PB",91,"0.05 (0.03)",0.25027517769189
"IGHV3.7","SP",146,"0.04 (0.02)",0.216132618214215
"IGHV3.72","CG32",216,"-0.03 (0.05)",0.340866748023375
"IGHV3.72","CG48",214,"0.04 (0.04)",0.754040797167786
"IGHV3.72","PB",91,"0.01 (0.06)",0.470158857327835
"IGHV3.72","SP",146,"0.02 (0.05)",0.667933243995169
"IGHV3.73","CG32",216,"0 (0.03)",0.907364725418022
"IGHV3.73","CG48",214,"0.01 (0.03)",0.971913874320835
"IGHV3.73","PB",91,"0.05 (0.05)",0.259090629285077
"IGHV3.73","SP",146,"0.07 (0.04)",0.101245331876864
"IGHV3.74","CG32",216,"-0.05 (0.02)",0.138958724347349
"IGHV3.74","CG48",214,"0.03 (0.02)",0.282016561651199
"IGHV3.74","PB",91,"0.02 (0.04)",0.514555972315914
"IGHV3.74","SP",146,"0.05 (0.02)",0.10543068165132
"IGHV3.9","CG32",216,"-0.02 (0.02)",0.419873363946727
"IGHV3.9","CG48",214,"0.01 (0.02)",0.872572251566945
"IGHV3.9","PB",91,"0.07 (0.05)",0.166190187540765
"IGHV3.9","SP",146,"0.04 (0.02)",0.25236567078245
"IGHV4.28","CG32",205,"0.05 (0.07)",0.897230037600867
"IGHV4.28","CG48",200,"-0.15 (0.09)",0.0198233142539809
"IGHV4.28","PB",83,"0.16 (0.11)",0.448195375305732
"IGHV4.28","SP",144,"0.22 (0.07)",0.00239099062024715
"IGHV4.30.4","CG32",216,"0 (0.03)",0.687505164719794
"IGHV4.30.4","CG48",214,"-0.02 (0.03)",0.447257485745801
"IGHV4.30.4","PB",91,"-0.01 (0.06)",0.730784366037939
"IGHV4.30.4","SP",146,"0.08 (0.04)",0.0902274589564332
"IGHV4.34","CG32",216,"0.02 (0.03)",0.947311915458391
"IGHV4.34","CG48",214,"-0.02 (0.04)",0.451520574664732
"IGHV4.34","PB",91,"0.02 (0.06)",0.370240326378154
"IGHV4.34","SP",146,"0.08 (0.04)",0.163404883686293
"IGHV4.38.2","CG32",216,"-0.01 (0.03)",0.688033815619625
"IGHV4.38.2","CG48",214,"-0.02 (0.04)",0.442172123802347
"IGHV4.38.2","PB",91,"-0.01 (0.06)",0.736089549408189
"IGHV4.38.2","SP",146,"0.08 (0.04)",0.0909810364259992
"IGHV4.39","CG32",216,"-0.08 (0.05)",0.389902324624973
"IGHV4.39","CG48",214,"-0.01 (0.05)",0.411147534090003
"IGHV4.39","PB",91,"0.21 (0.13)",0.0937799859022214
"IGHV4.39","SP",146,"0.09 (0.06)",0.0930153391142655
"IGHV4.4","CG32",136,"0.06 (0.06)",0.769634003715051
"IGHV4.4","CG48",148,"0.19 (0.09)",0.58102173670367
"IGHV4.4","PB",55,"-0.02 (0.12)",0.98731196783176
"IGHV4.4","SP",95,"0.15 (0.06)",0.245775410412982
"IGHV4.59","CG32",216,"0 (0.03)",0.687505164719794
"IGHV4.59","CG48",214,"-0.02 (0.03)",0.447257485745801
"IGHV4.59","PB",91,"-0.01 (0.06)",0.730784366037939
"IGHV4.59","SP",146,"0.08 (0.04)",0.0902274589564332
"IGHV4.61","CG32",216,"0 (0.03)",0.687505164719794
"IGHV4.61","CG48",214,"-0.02 (0.03)",0.447257485745801
"IGHV4.61","PB",91,"-0.01 (0.06)",0.730784366037939
"IGHV4.61","SP",146,"0.08 (0.04)",0.0902274589564332
"IGHV5.10.1","CG32",215,"0 (0.04)",0.929705633723362
"IGHV5.10.1","CG48",214,"-0.01 (0.04)",0.476694800364757
"IGHV5.10.1","PB",91,"-0.05 (0.1)",0.737860758424376
"IGHV5.10.1","SP",146,"0.07 (0.04)",0.451331526560514
"IGHV5.51","CG32",216,"0 (0.03)",0.872740128401006
"IGHV5.51","CG48",214,"-0.02 (0.02)",0.718121109673788
"IGHV5.51","PB",91,"0.01 (0.05)",0.681919276582961
"IGHV5.51","SP",146,"0.03 (0.02)",0.617894553904656
"IGHV6.1","CG32",191,"-0.12 (0.06)",0.109304757724289
"IGHV6.1","CG48",190,"-0.02 (0.06)",0.290884529940202
"IGHV6.1","PB",77,"0.16 (0.11)",0.223291503646723
"IGHV6.1","SP",111,"0.04 (0.09)",0.832966143116814
"IGHV7.4.1","CG32",172,"-0.1 (0.07)",0.180901103846435
"IGHV7.4.1","CG48",171,"0 (0.07)",0.797223581890446
"IGHV7.4.1","PB",68,"-0.1 (0.14)",0.955692567985811
"IGHV7.4.1","SP",117,"-0.16 (0.08)",0.121608339379901
"IGKC","CG32",216,"-0.01 (0.02)",0.981089027953917
"IGKC","CG48",214,"-0.02 (0.01)",0.229205908702664
"IGKC","PB",91,"0.05 (0.03)",0.0168581521915067
"IGKC","SP",146,"0 (0.01)",0.32325620412232
"IGKV1.12","CG32",216,"0.04 (0.03)",0.743258914440587
"IGKV1.12","CG48",214,"-0.01 (0.03)",0.609814445645316
"IGKV1.12","PB",91,"0.1 (0.06)",0.159816819117715
"IGKV1.12","SP",146,"0.06 (0.03)",0.110045160441667
"IGKV1.13","CG32",146,"-0.14 (0.12)",0.144430861088103
"IGKV1.13","CG48",156,"0.11 (0.11)",0.462498032047437
"IGKV1.13","PB",57,"0.33 (0.24)",0.615732255899556
"IGKV1.13","SP",102,"-0.03 (0.07)",0.921729571108107
"IGKV1.16","CG32",212,"0 (0.07)",0.844214683826327
"IGKV1.16","CG48",211,"0.02 (0.06)",0.88516085133019
"IGKV1.16","PB",88,"0 (0.1)",0.91706524656908
"IGKV1.16","SP",146,"0.13 (0.09)",0.21224324543406
"IGKV1.17","CG32",216,"0.09 (0.07)",0.541023646211106
"IGKV1.17","CG48",213,"-0.16 (0.07)",0.0947743175399545
"IGKV1.17","PB",91,"-0.09 (0.1)",0.707946636957015
"IGKV1.17","SP",142,"0.14 (0.08)",0.21859686097523
"IGKV1.27","CG32",216,"0.05 (0.04)",0.327564739422844
"IGKV1.27","CG48",214,"-0.01 (0.05)",0.770303792042163
"IGKV1.27","PB",91,"-0.01 (0.07)",0.920487937877992
"IGKV1.27","SP",146,"0.03 (0.05)",0.632828405508971
"IGKV1.33","CG32",216,"0.03 (0.04)",0.92160999922762
"IGKV1.33","CG48",214,"0.03 (0.05)",0.311300459248623
"IGKV1.33","PB",91,"0.11 (0.06)",0.108939635130832
"IGKV1.33","SP",146,"0.06 (0.05)",0.174423414570031
"IGKV1.37","CG32",215,"0.02 (0.04)",0.813086862203718
"IGKV1.37","CG48",213,"0 (0.05)",0.787920524702793
"IGKV1.37","PB",91,"0.1 (0.07)",0.204275556720724
"IGKV1.37","SP",146,"0.06 (0.06)",0.158290581385116
"IGKV1.39","CG32",216,"0.07 (0.03)",0.3485682889413
"IGKV1.39","CG48",214,"0.01 (0.03)",0.92322077346486
"IGKV1.39","PB",91,"0.11 (0.06)",0.0819993849870407
"IGKV1.39","SP",146,"0.04 (0.04)",0.134864433302219
"IGKV1.5","CG32",216,"0.02 (0.03)",0.486413718801001
"IGKV1.5","CG48",214,"0.04 (0.03)",0.455806553771609
"IGKV1.5","PB",91,"-0.03 (0.05)",0.716700641445438
"IGKV1.5","SP",146,"-0.02 (0.04)",0.723440643099838
"IGKV1.6","CG32",216,"0.02 (0.03)",0.753056626828399
"IGKV1.6","CG48",214,"-0.02 (0.03)",0.398711118682184
"IGKV1.6","PB",91,"0.07 (0.05)",0.136779409599698
"IGKV1.6","SP",146,"0.04 (0.03)",0.249103418466907
"IGKV1.8","CG32",216,"0.01 (0.04)",0.692268493240783
"IGKV1.8","CG48",214,"0.06 (0.04)",0.57103428956324
"IGKV1.8","PB",91,"0.06 (0.06)",0.314217675289306
"IGKV1.8","SP",146,"0.02 (0.04)",0.546539956717562
"IGKV1.9","CG32",216,"0 (0.04)",0.91875878325029
"IGKV1.9","CG48",214,"0.06 (0.04)",0.621823383666466
"IGKV1.9","PB",91,"0.05 (0.07)",0.580184465913474
"IGKV1.9","SP",146,"0.03 (0.04)",0.51713849484171
"IGKV1D.12","CG32",216,"0.04 (0.03)",0.743258914440587
"IGKV1D.12","CG48",214,"-0.01 (0.03)",0.609814445645316
"IGKV1D.12","PB",91,"0.1 (0.06)",0.159816819117715
"IGKV1D.12","SP",146,"0.06 (0.03)",0.110045160441667
"IGKV1D.13","CG32",146,"-0.14 (0.12)",0.144430861088103
"IGKV1D.13","CG48",156,"0.11 (0.11)",0.462498032047437
"IGKV1D.13","PB",57,"0.33 (0.24)",0.615732255899556
"IGKV1D.13","SP",102,"-0.03 (0.07)",0.921729571108107
"IGKV1D.16","CG32",214,"0.04 (0.06)",0.809191518810766
"IGKV1D.16","CG48",211,"-0.07 (0.06)",0.19835280636305
"IGKV1D.16","PB",90,"-0.05 (0.1)",0.92463680916907
"IGKV1D.16","SP",146,"0.14 (0.08)",0.062477162815152
"IGKV1D.33","CG32",216,"0.03 (0.04)",0.92160999922762
"IGKV1D.33","CG48",214,"0.03 (0.05)",0.311300459248623
"IGKV1D.33","PB",91,"0.11 (0.06)",0.108939635130832
"IGKV1D.33","SP",146,"0.06 (0.05)",0.174423414570031
"IGKV1D.37","CG32",215,"0.02 (0.04)",0.813086862203718
"IGKV1D.37","CG48",213,"0 (0.05)",0.787920524702793
"IGKV1D.37","PB",91,"0.1 (0.07)",0.204275556720724
"IGKV1D.37","SP",146,"0.06 (0.06)",0.158290581385116
"IGKV1D.39","CG32",216,"0.07 (0.03)",0.3485682889413
"IGKV1D.39","CG48",214,"0.01 (0.03)",0.92322077346486
"IGKV1D.39","PB",91,"0.11 (0.06)",0.0819993849870407
"IGKV1D.39","SP",146,"0.04 (0.04)",0.134864433302219
"IGKV2.24","CG32",216,"0.03 (0.04)",0.461579521533585
"IGKV2.24","CG48",214,"0.05 (0.04)",0.151898034042638
"IGKV2.24","PB",91,"-0.01 (0.06)",0.98407223300215
"IGKV2.24","SP",146,"0.02 (0.05)",0.728385054294147
"IGKV2.28","CG32",216,"-0.03 (0.02)",0.556826212856482
"IGKV2.28","CG48",214,"0.01 (0.03)",0.842418578385987
"IGKV2.28","PB",91,"-0.03 (0.05)",0.787987844387974
"IGKV2.28","SP",146,"0.04 (0.03)",0.211278851910397
"IGKV2.29","CG32",216,"0 (0.02)",0.953031857841419
"IGKV2.29","CG48",214,"0 (0.02)",0.854678140052552
"IGKV2.29","PB",91,"0.01 (0.03)",0.807936540427559
"IGKV2.29","SP",146,"-0.01 (0.02)",0.909237040675326
"IGKV2.30","CG32",216,"-0.01 (0.03)",0.727022118073709
"IGKV2.30","CG48",214,"-0.02 (0.04)",0.98439436821526
"IGKV2.30","PB",91,"0.04 (0.05)",0.216242084480134
"IGKV2.30","SP",146,"0.08 (0.04)",0.166209838548358
"IGKV2.40","CG32",216,"-0.04 (0.03)",0.470808421520754
"IGKV2.40","CG48",214,"0 (0.03)",0.832971211546954
"IGKV2.40","PB",91,"-0.02 (0.05)",0.616058522103136
"IGKV2.40","SP",146,"0.04 (0.03)",0.294448202041858
"IGKV2D.24","CG32",216,"0.03 (0.04)",0.461579521533585
"IGKV2D.24","CG48",214,"0.05 (0.04)",0.151898034042638
"IGKV2D.24","PB",91,"-0.01 (0.06)",0.98407223300215
"IGKV2D.24","SP",146,"0.02 (0.05)",0.728385054294147
"IGKV2D.26","CG32",216,"-0.01 (0.02)",0.751420861611172
"IGKV2D.26","CG48",214,"0 (0.02)",0.986664048917441
"IGKV2D.26","PB",91,"0.01 (0.03)",0.671611304942023
"IGKV2D.26","SP",146,"-0.01 (0.02)",0.962683375228603
"IGKV2D.28","CG32",216,"-0.03 (0.02)",0.556826212856482
"IGKV2D.28","CG48",214,"0.01 (0.03)",0.842418578385987
"IGKV2D.28","PB",91,"-0.03 (0.05)",0.787987844387974
"IGKV2D.28","SP",146,"0.04 (0.03)",0.211278851910397
"IGKV2D.29","CG32",216,"0 (0.02)",0.976505745801599
"IGKV2D.29","CG48",214,"0 (0.02)",0.960573855538571
"IGKV2D.29","PB",91,"0.01 (0.03)",0.67847656783813
"IGKV2D.29","SP",146,"-0.01 (0.02)",0.960582695685729
"IGKV2D.30","CG32",216,"0.01 (0.02)",0.951887666315162
