source,target,r,p,t,n,type1,type2,name1,name2,fdr
FINS,MS016,0.150804343014705,0.0028653532242501,3.00099107045243,391,CLN,MTB,Fasting insulin (mU/L),Acetoacetate,0.0342602996226001
FINS,MS018,0.151522186639283,0.0027338054177167,3.0156109478054,391,CLN,MTB,Fasting insulin (mU/L),N-acetylated glycoproteins,0.0330447484640207
FINS,MS026,0.247774146926766,7.47812385842488e-07,5.0311741782108,391,CLN,MTB,Fasting insulin (mU/L),L-Valine,2.44566247876938e-05
FINS,MS027,0.226625016415343,6.3548172877677e-06,4.57733146042231,391,CLN,MTB,Fasting insulin (mU/L),L-Isoleucine,0.0001717418439067
HOMA.B,LDLC,-0.140967078440284,0.0021655183991281,-3.08363282217016,473,CLN,CLN,HOMA-B,LDL-cholesterol (mmol/L),0.0272095980669677
HOMA.B,HOMA.IR,0.180815747546891,7.66238789755759e-05,3.98992598210787,475,CLN,CLN,HOMA-B,HOMA-IR,0.0016174604271026
HOMA.B,exRNA000250,0.19925489964426,0.0001190750930671,3.88997362225554,370,CLN,MIR,HOMA-B,hsa-miR-664b-5p,0.0023591498814165
HOMA.B,MP0042,-0.141542098041627,0.0039480698846545,-2.89868532823085,415,CLN,MTB,HOMA-B,D-Gluconolactone,0.0435920982984679
HOMA.B,MP0043,-0.221195610670401,5.68080265216439e-06,-4.59822907373333,415,CLN,MTB,HOMA-B,D-Glucose,0.0001546403723133
ALT,AST,0.790449586015186,2.168393161876e-103,28.1547932558877,480,CLN,CLN,Alanine aminotransferase (U/L),Aspartate aminotransferase (U/L),2.65000469572425e-100
ALT,TBIL,0.138677659673031,0.0023760470737736,3.05510910365797,480,CLN,CLN,Alanine aminotransferase (U/L),Total bilirubin (μmol/L),0.0294878744270571
ALT,UMA,0.130288844598763,0.0043275152512795,2.86700511756012,480,CLN,CLN,Alanine aminotransferase (U/L),Urine microalbumin (mg/L),0.0469555626797712
ALT,exRNA000003,0.465694732619789,2.01570818603648e-21,10.1224513091024,374,CLN,MIR,Alanine aminotransferase (U/L),hsa-miR-122-5p,2.1274883672621402e-19
ALT,exRNA000047,-0.186220565187822,0.0003047339273715,-3.64579649175343,374,CLN,MIR,Alanine aminotransferase (U/L),hsa-miR-15b-5p,0.0053122535987743
ALT,exRNA000066,0.246869407585034,1.43393723374965e-06,4.90029818233982,374,CLN,MIR,Alanine aminotransferase (U/L),hsa-miR-193a-5p,4.43355826466935e-05
ALT,exRNA000077,0.261709293078216,3.05227889912661e-07,5.21586875083613,374,CLN,MIR,Alanine aminotransferase (U/L),hsa-miR-483-5p,1.06417291347928e-05
ALT,exRNA000097,0.360667862441385,7.18629488294142e-13,7.43821926456654,374,CLN,MIR,Alanine aminotransferase (U/L),hsa-miR-885-5p,4.86489117148396e-11
ALT,exRNA000183,0.259735639943796,3.77057116507295e-07,5.17367661606911,374,CLN,MIR,Alanine aminotransferase (U/L),hsa-miR-193b-5p,1.29007594515493e-05
ALT,exRNA000408,0.194914140737229,0.0001549110273388,3.82256395315142,374,CLN,MIR,Alanine aminotransferase (U/L),hsa-miR-885-3p,0.0029813686255828
ALT,exRNA000822,0.188330619127289,0.0002592906150772,3.68861706250668,374,CLN,MIR,Alanine aminotransferase (U/L),hsa-miR-122-3p,0.0046458829327572
ALT,ALDOB,0.181386659885139,0.0005058779632107,3.5093298366316,366,CLN,PRT,Alanine aminotransferase (U/L),ALDOB,0.0080842989027893
ALT,APOD,-0.163739529412121,0.0007671427816165,-3.38940048981789,421,CLN,PRT,Alanine aminotransferase (U/L),APOD,0.011529485688762
ALT,MP0080,0.380567000507987,6.88758805920488e-16,8.40375227028095,421,CLN,MTB,Alanine aminotransferase (U/L),Isocitric acid,5.83685382243567e-14
ALT,MP0082,0.157312017303315,0.0012352451788335,3.25290437116963,421,CLN,MTB,Alanine aminotransferase (U/L),Ketoleucine,0.0171545412993506
ALT,MP0093,0.157389439867532,0.0012283057727719,3.25454597297223,421,CLN,MTB,Alanine aminotransferase (U/L),L-Leucine,0.0170752648395619
ALT,MP0128,0.297827347109454,4.97581501311811e-10,6.37092047948702,421,CLN,MTB,Alanine aminotransferase (U/L),Oxoglutaric acid,2.62587328646824e-08
AST,FFA,0.132527270644793,0.0037724472330507,2.91099979697008,478,CLN,CLN,Aspartate aminotransferase (U/L),Free fatty acids (mmol/L),0.0421743980507652
AST,exRNA000003,0.529058760412757,3.22406964631945e-28,11.9924888438221,374,CLN,MIR,Aspartate aminotransferase (U/L),hsa-miR-122-5p,4.67893107422111e-26
AST,exRNA000042,-0.174182188057873,0.0007407743369313,-3.40247338642779,374,CLN,MIR,Aspartate aminotransferase (U/L),hsa-miR-126-3p,0.0111765952589641
AST,exRNA000047,-0.156403267623967,0.0024856516470817,-3.04596272778386,374,CLN,MIR,Aspartate aminotransferase (U/L),hsa-miR-15b-5p,0.030684866795568
